cuit,company_name,company_type,tipo_icp_contador,deal_stage,outcome,amount_num,close_date,incorporation_date,tipo_societario,actividad_descripcion,actividad_codigo,dom_fiscal_provincia
20112383140,39967 - Barberis Alfredo,Cuenta Contador,Operador,closedwon,Won,131865.0,2019-10-30T03:00:00Z,,,,,
20112383140,39967 - Barberis Alfredo,Cuenta Contador,Operador,closedwon,Won,131865.0,2019-10-30T03:00:00Z,,,,,
20112383140,39967 - Barberis Alfredo,Cuenta Contador,Operador,closedwon,Won,131865.0,2019-10-30T03:00:00Z,,,,,
20116751861,Almacén de Bebidas Moreno,Cuenta Pyme,Pyme,closedwon,Won,165221.0,2022-05-04T03:00:00Z,,,,,
20116751861,Almacén de Bebidas Moreno,Cuenta Pyme,Pyme,closedwon,Won,165221.0,2022-05-04T03:00:00Z,,,,,
20108813130,54208 - ESCUELA AVP,Cuenta Pyme,Pyme,closedwon,Won,181747.0,2021-05-25T03:00:00Z,,,,,
20108813130,54208 - ESCUELA AVP,Cuenta Pyme,Pyme,closedwon,Won,181747.0,2021-05-25T03:00:00Z,,,,,
20108813130,54208 - ESCUELA AVP,Cuenta Pyme,Pyme,closedwon,Won,181747.0,2021-05-25T03:00:00Z,,,,,
20058774104,16043 - VAGO Hugo Raúl,Cuenta Contador,Híbrido,closedwon,Won,165221.0,2022-12-28T03:00:00Z,,,,,
20058774104,16043 - VAGO Hugo Raúl,Cuenta Contador,Híbrido,closedwon,Won,165221.0,2022-12-28T03:00:00Z,,,,,
20058774104,16043 - VAGO Hugo Raúl,Cuenta Contador,Híbrido,closedwon,Won,165221.0,2018-06-11T03:00:00Z,,,,,
20058774104,16043 - VAGO Hugo Raúl,Cuenta Contador,Híbrido,closedwon,Won,165221.0,2018-06-11T03:00:00Z,,,,,
20058774104,16043 - VAGO Hugo Raúl,Cuenta Contador,Híbrido,31849274,Churned,81684.0,2023-04-26T21:16:40.394Z,,,,,
20058774104,16043 - VAGO Hugo Raúl,Cuenta Contador,Híbrido,31849274,Churned,81684.0,2023-04-26T21:16:40.394Z,,,,,
20058774104,16043 - VAGO Hugo Raúl,Cuenta Contador,Híbrido,closedwon,Won,165221.0,2019-05-29T03:00:00Z,,,,,
20058774104,16043 - VAGO Hugo Raúl,Cuenta Contador,Híbrido,closedwon,Won,165221.0,2019-05-29T03:00:00Z,,,,,
20058774104,16043 - VAGO Hugo Raúl,Cuenta Contador,Híbrido,31849274,Churned,147522.0,2019-05-30T03:00:00Z,,,,,
20058774104,16043 - VAGO Hugo Raúl,Cuenta Contador,Híbrido,31849274,Churned,147522.0,2019-05-30T03:00:00Z,,,,,
20058774104,16043 - VAGO Hugo Raúl,Cuenta Contador,Híbrido,closedwon,Won,181747.0,2019-05-20T03:00:00Z,,,,,
20058774104,16043 - VAGO Hugo Raúl,Cuenta Contador,Híbrido,closedwon,Won,181747.0,2019-05-20T03:00:00Z,,,,,
20058774104,16043 - VAGO Hugo Raúl,Cuenta Contador,Híbrido,closedwon,Won,189856.0,2017-10-02T03:00:00Z,,,,,
20058774104,16043 - VAGO Hugo Raúl,Cuenta Contador,Híbrido,closedwon,Won,189856.0,2017-10-02T03:00:00Z,,,,,
20058774104,16043 - VAGO Hugo Raúl,Cuenta Contador,Híbrido,closedwon,Won,189856.0,2017-10-02T03:00:00Z,,,,,
20058774104,16043 - VAGO Hugo Raúl,Cuenta Contador,Híbrido,closedwon,Won,165221.0,2022-03-25T03:00:00Z,,,,,
20058774104,16043 - VAGO Hugo Raúl,Cuenta Contador,Híbrido,closedwon,Won,165221.0,2022-03-25T03:00:00Z,,,,,
20046272545,26910 - JOSE LUIS LOZANO,Cuenta Pyme,Pyme,closedwon,Won,110347.0,2025-04-03T18:19:47.562Z,,,,,
20046272545,26910 - JOSE LUIS LOZANO,Cuenta Pyme,Pyme,closedwon,Won,110347.0,2025-04-03T18:19:47.562Z,,,,,
20046272545,26910 - JOSE LUIS LOZANO,Cuenta Pyme,Pyme,closedwon,Won,110347.0,2025-04-03T18:19:47.562Z,,,,,
20120123816,19119 - Estudio Eidelstein y Asoc.,Cuenta Contador,Híbrido,closedwon,Won,323964.0,2023-04-19T03:00:00Z,,,,,
20120123816,19119 - Estudio Eidelstein y Asoc.,Cuenta Contador,Híbrido,closedwon,Won,323964.0,2023-04-19T03:00:00Z,,,,,
20120123816,19119 - Estudio Eidelstein y Asoc.,Cuenta Contador,Híbrido,31849274,Churned,165221.0,2023-05-23T16:09:43.809Z,,,,,
20120123816,19119 - Estudio Eidelstein y Asoc.,Cuenta Contador,Híbrido,31849274,Churned,165221.0,2023-05-23T16:09:43.809Z,,,,,
20120123816,19119 - Estudio Eidelstein y Asoc.,Cuenta Contador,Híbrido,closedwon,Won,165221.0,2018-02-14T03:00:00Z,,,,,
20120123816,19119 - Estudio Eidelstein y Asoc.,Cuenta Contador,Híbrido,closedwon,Won,165221.0,2018-02-14T03:00:00Z,,,,,
20120123816,19119 - Estudio Eidelstein y Asoc.,Cuenta Contador,Híbrido,closedwon,Won,165221.0,2018-10-03T03:00:00Z,,,,,
20120123816,19119 - Estudio Eidelstein y Asoc.,Cuenta Contador,Híbrido,closedwon,Won,165221.0,2018-10-03T03:00:00Z,,,,,
20120123816,19119 - Estudio Eidelstein y Asoc.,Cuenta Contador,Híbrido,34692158,Recovered,145052.0,2018-02-16T00:13:32.118Z,,,,,
20120123816,19119 - Estudio Eidelstein y Asoc.,Cuenta Contador,Híbrido,34692158,Recovered,145052.0,2018-02-16T00:13:32.118Z,,,,,
20120123816,19119 - Estudio Eidelstein y Asoc.,Cuenta Contador,Híbrido,closedwon,Won,202500.0,2025-12-29T00:00:00Z,,,,,
20120123816,19119 - Estudio Eidelstein y Asoc.,Cuenta Contador,Híbrido,closedwon,Won,202500.0,2025-12-29T00:00:00Z,,,,,
20120123816,19119 - Estudio Eidelstein y Asoc.,Cuenta Contador,Híbrido,closedwon,Won,181747.0,2018-10-09T03:00:00Z,,,,,
20120123816,19119 - Estudio Eidelstein y Asoc.,Cuenta Contador,Híbrido,closedwon,Won,181747.0,2018-10-09T03:00:00Z,,,,,
20120123816,19119 - Estudio Eidelstein y Asoc.,Cuenta Contador,Híbrido,closedwon,Won,181747.0,2018-10-09T03:00:00Z,,,,,
20120123816,19119 - Estudio Eidelstein y Asoc.,Cuenta Contador,Híbrido,closedwon,Won,165221.0,2015-10-27T03:00:00Z,,,,,
20120123816,19119 - Estudio Eidelstein y Asoc.,Cuenta Contador,Híbrido,closedwon,Won,165221.0,2015-10-27T03:00:00Z,,,,,
