event_name,count,percentage
$mp_click,10776,63.16%
$mp_input_change,3736,21.90%
Agregó medio de pago,274,1.61%
Click en agregar pago,197,1.15%
Generó orden de pago,183,1.07%
Agregó un proveedor,172,1.01%
Seleccionó la opción para agregar un comprobante de venta,147,0.86%
Generó comprobante de venta,131,0.77%
Imprimió comprobante de venta,124,0.73%
Click en agregar cliente,107,0.63%
Generó comprobante de compra,103,0.60%
Click en agregar proveedor,101,0.59%
Agregó un cliente,93,0.55%
Agregó medio de cobro,88,0.52%
Agregó una cuenta contable,88,0.52%
Seleccionó la opción para agregar un comprobante de compra,86,0.50%
Genera nuevo pago,84,0.49%
Abrió el módulo contabilidad,79,0.46%
Abrió el módulo proveedores,75,0.44%
$mp_web_page_view,68,0.40%
Abrió el módulo tesorería,49,0.29%
Abrió el módulo clientes,45,0.26%
Visualizó inicio colppy,35,0.21%
Login,28,0.16%
Cambia Empresa desde Header,25,0.15%
Abrió el módulo configuración de empresa,18,0.11%
Click en agregar cobro,15,0.09%
Abrió el módulo mi cuenta colppy,12,0.07%
Abrió el módulo inventario,9,0.05%
Descargó el plan de cuentas,8,0.05%
No generó comprobante de venta,8,0.05%
Seleccionó opción para importar,7,0.04%
Agregó un talonario,6,0.04%
Cambió de empresa,6,0.04%
Click Tablero,6,0.04%
Configura Talonario FE,5,0.03%
Descargó el listado de comprobantes de compra,5,0.03%
$identify,4,0.02%
Click en Nuevo Asiento a Diario,4,0.02%
Seleccionó la opción agregar cuenta de tesorería,4,0.02%
Seleccionó la opción de configurar delegación factura electrónica,4,0.02%
Agregó una cuenta de tesorería,3,0.02%
Cambia solapa en comprobante,3,0.02%
Click en pagar,3,0.02%
Descargó el balance,3,0.02%
Realizó canje interno de caja,3,0.02%
Abrió la solapa importación de facturas,2,0.01%
Click Upselling,2,0.01%
Click en reporte Balance,2,0.01%
Click en reporte Retenciones y percepciones,2,0.01%
Seleccionó invitar usuario,2,0.01%
Seleccionó la opción perfil,2,0.01%
Visualizó ventana de upsell,2,0.01%
Click en comenzar primeros pasos,1,0.01%
Click en guardar Asiento,1,0.01%
Click en posición de cuenta de tesorería,1,0.01%
Click en reporte Diario general,1,0.01%
Click en reporte IVA Compras,1,0.01%
Click en reporte Listado Proveedores,1,0.01%
Click en solapa listas de precios,1,0.01%
Descargó el diario general,1,0.01%
Descargó el libro iva compras,1,0.01%
Descargó el modelo de importación del plan de cuentas,1,0.01%
Descargó el retenciones y percepciones,1,0.01%
Generó asiento contable,1,0.01%
Generó recibo de cobro,1,0.01%
Invitó usuario,1,0.01%
Seleccionó la opción conciliar,1,0.01%
Seleccionó la opción nuevo plan de cuentas,1,0.01%
Subscription Billed,1,0.01%
TOTAL,17061,100.00%
