"Conversation ID","Created At","Updated At","Message ID","Message Body","Part Type","Author Type","Author ID","Author Name","Owner Name","User ID","Company ID","State","Read"
"215468963788113","2025-05-13T14:23:12.000Z","2025-05-17T18:49:25.000Z","22732266781","<p class=""no-margin"">Hola , ¿Cómo estás?</p>
<p class=""no-margin"">Me comunico del área de cobranzas de <b>Colppy</b>, para informarles que la suscripción del mes de <b>Mayo </b>de la empresa Tres Olas Ediciones SAS.. debitada a una Visa Debito   Vino rechazado con la siguiente leyenda OPERACION NO PERMITIDA PARA ESA TARJETA, el monto a abonar es de $635.129, la plataforma estará habilitada hasta el 16/05/2025 por la mañana, para realizar el pago deben ingresar a la plataforma con <b>usuario administrador</b> y seguir estos pasos: <b>Mi Cuenta &gt; Modificar &gt; Elegir plan actual &gt; Ingresar método de pago. </b></p>
<p class=""no-margin"">Ante cualquier duda o consulta, quedo atento a tu respuesta. </p>
<p class=""no-margin"">Saludos.</p>","conversation","admin","6671464","Barbara Lamas","","67ffacafaed23e82da1227f7","","open","true"
"215468963788113","2025-05-13T16:25:52.000Z","2025-05-17T18:49:25.000Z","22737702332","","conversation_tags_updated","admin","6671464","Barbara Lamas","","67ffacafaed23e82da1227f7","","open","true"
"215468963788113","2025-05-13T16:25:53.000Z","2025-05-17T18:49:25.000Z","22737702606","","snoozed","admin","6671464","Barbara Lamas","","67ffacafaed23e82da1227f7","","open","true"
"215468963788113","2025-05-14T12:00:15.000Z","2025-05-17T18:49:25.000Z","22768274919","","timer_unsnooze","bot","1487699","Colppy","","67ffacafaed23e82da1227f7","","open","true"
"215468963788113","2025-05-14T19:28:55.000Z","2025-05-17T18:49:25.000Z","22786437477","<p class=""no-margin"">¡Hola! 👋 Notamos que el pago de la suscripción sigue pendiente. Si necesitás ayuda para hacerlo, recordá que es rápido: ingresá a tu cuenta con<b> usuario administrador </b>y seguir estos pasos: <b>Mí Cuenta &gt;&gt;Modificar &gt;&gt;Elegir plan actual &gt;&gt; Ingresar método de pago.</b>. Estamos acá para lo que necesites!</p>
<p class=""no-margin""></p>
<p class=""no-margin"">Saludos.</p>","comment","admin","6671464","Barbara Lamas","","67ffacafaed23e82da1227f7","","open","true"
"215468963788113","2025-05-14T19:28:56.000Z","2025-05-17T18:49:25.000Z","22786437782","","snoozed","admin","6671464","Barbara Lamas","","67ffacafaed23e82da1227f7","","open","true"
"215468963788113","2025-05-15T12:00:14.000Z","2025-05-17T18:49:25.000Z","22808548996","","timer_unsnooze","bot","1487699","Colppy","","67ffacafaed23e82da1227f7","","open","true"
"215468963788113","2025-05-15T17:01:17.000Z","2025-05-17T18:49:25.000Z","22821126542","<p>Hola Bárbara, </p>
<p>Gracias por la información. Me podes llamar por favor?</p>
<p>GRacias,</p>
<p>Federico<br>​</p>
<p>El mié, 14 may 2025 a las 16:39, Barbara de Colppy (&lt;<a href=""mailto:barbara.lamas@colppy.intercom-mail.com"" rel=""nofollow"" target=""_blank"" class=""intercom-content-link"">barbara.lamas@colppy.intercom-mail.com</a>&gt;) escribió:<br>​</p>","comment","user","67ffacafaed23e82da1227f7","Federico","","67ffacafaed23e82da1227f7","","open","true"
"215468963788113","2025-05-15T17:01:19.000Z","2025-05-17T18:49:25.000Z","22821128052","","conversation_attribute_updated_by_admin","bot","1487699","Colppy","","67ffacafaed23e82da1227f7","","open","true"
"215468963788113","2025-05-15T18:03:42.000Z","2025-05-17T18:49:25.000Z","22823618192","","priority_changed","admin","6671464","Barbara Lamas","","67ffacafaed23e82da1227f7","","open","true"
"215468963788113","2025-05-15T18:03:55.000Z","2025-05-17T18:49:25.000Z","22823626232","<p class=""no-margin"">Por supuesto,  lo llamo en este momento! </p>","comment","admin","6671464","Barbara Lamas","","67ffacafaed23e82da1227f7","","open","true"
"215468963788113","2025-05-15T18:38:39.000Z","2025-05-17T18:49:25.000Z","22824965680","<p class=""no-margin"">LLAMAR 17HS</p>","note","admin","6671464","Barbara Lamas","","67ffacafaed23e82da1227f7","","open","true"
"215468963788113","2025-05-15T18:38:49.000Z","2025-05-17T18:49:25.000Z","22824972147","","snoozed","admin","6671464","Barbara Lamas","","67ffacafaed23e82da1227f7","","open","true"
"215468963788113","2025-05-15T20:00:09.000Z","2025-05-17T18:49:25.000Z","22827778681","","timer_unsnooze","bot","1487699","Colppy","","67ffacafaed23e82da1227f7","","open","true"
