accidents,traffic_fine_amount,traffic_density,traffic_lights,pavement_quality,urban_area,average_speed,rain_intensity,vehicle_count,time_of_day
20,4.3709,2.3049,753,0.77,1,321.592,1.1944,290.857,160.432
11,9.5564,3.2757,5.452,4.054,1,478.623,6.296,931.812,8.9108
19,7.5879,2.0989,6.697,345,0,364.476,2.8584,830.086,5.5727
23,6.3879,4.9188,9.412,4.729,0,20.92,2.1065,813.159,131.452
23,2.4042,1.961,7.393,1.7111,1,37.378,1.7028,1.4663,6.961
31,2.404,6.7137,5.411,5.905,1,404.621,1.8936,689.041,8.1801
29,1.5228,5.2316,9.326,2.3785,1,16.292,2.5213,237.971,12.6622
18,8.7956,8.9864,4.784,1.9984,0,352.566,1.9072,968.067,8.0602
15,6.41,1.6439,5.612,3.609,1,217.198,3.438,535.444,8.2904
22,7.3727,8.0411,5.961,4.765,1,409.261,2.0919,569.056,203.591
28,1.1853,7.9196,0.41,3.7678,1,147.689,1.6946,362.918,224.158
17,9.7292,1.2718,8.385,8.972,0,46.888,2.899,541.363,198.574
14,8.492,3.9856,1.852,4.6776,0,287.393,2.2012,75.224,2.3728
21,2.9111,1.7015,5.548,1.9607,1,176.652,1.032,566.301,6.9538
22,2.6364,2.5472,7.222,2.3709,0,209.686,4.062,64.485,170.711
25,2.6506,2.6325,904,2.1079,1,173.899,1.4468,477.743,233.854
25,3.7382,5.5624,8.839,1.4027,1,7.3123,2.0381,719.236,5.8148
18,5.7228,4.1141,5.087,4.4752,1,3.4246,5.318,900.563,215.571
27,4.8875,9.4773,6.432,1.6612,1,160.889,1.9483,6.0541,177.364
24,3.6211,1.2637,3.942,2.893,1,229.345,2.4768,11.6224,236.028
20,6.5067,9.7369,4.682,1.2002,0,180.908,4.712,688.753,2.2461
23,2.2554,2.3064,9.063,3.9869,0,696,2.1174,383.927,9.4739
24,3.6293,7.7287,9.307,3.871,1,289.503,2.048,288.802,11.4748
17,4.2973,3.3897,8.954,1.4816,0,7.2408,239,186.807,16.13
11,5.1046,1.4308,1.384,3.4078,0,10.5503,979,57.691,156.953
21,8.0666,8.5789,8.501,3.5194,1,6.0374,1.8945,354.057,217.523
28,2.7971,3.0886,9.484,2.8126,1,260.216,2.9201,512.881,201.282
20,5.6281,6.5886,3.612,3.003,1,4.758,2.3141,958.976,1.3289
19,6.3317,5.6644,5.186,2.8723,1,12.8179,7.632,760.685,11.677
26,1.4181,4.7176,7.791,4.093,0,225.854,2.151,797.991,9.7695
17,6.4679,4.9582,5.621,3.3513,0,8.3854,1.85,132.956,239.315
23,2.5347,7.3224,9.935,2.3489,1,223.121,97,331.731,10.2542
25,1.5855,8.777,4.557,2.1923,0,171.368,2.3778,11.5173,163.829
14,9.54,6.6818,7.139,4.3,0,430.299,7.294,968.836,6.8263
19,9.6907,8.9581,7.926,1.161,1,397.452,8.977,685.366,147.511
14,8.2756,5.779,4.941,1.2566,1,496.427,1.0319,2.9041,4.9592
23,3.7415,1.4065,857,607,0,264.456,2.2907,48.075,144.866
29,1.879,7.1663,5.462,1.767,1,287.699,7.972,27.089,208.366
18,7.1581,4.3728,4.117,1.3784,1,473.323,8.534,544.559,4.617
18,4.9614,4.0355,1.078,4.9424,1,199.796,1.623,186.871,12.1101
22,2.0983,1.3697,3.934,1.3511,0,277.841,1.389,6.6287,235.769
23,5.4566,5.0677,7.339,3.3185,1,189.543,2.8667,329.946,3.8223
24,1.3095,1.2655,9.213,5.915,1,27.293,7.902,302.552,4.4019
7,9.1839,4.7662,2.517,3.1992,0,4.0383,2.757,719.794,11.2998
25,3.329,7.6362,3.552,4.9224,1,391.897,1.6229,479.803,209.038
15,6.9627,2.5826,154,1.4592,1,49.264,5.536,298.415,135.062
22,3.8054,4.8079,6.907,4.2404,1,3.287,1.2409,574.726,12.209
20,5.6806,9.9202,9.602,4.9879,1,40.052,5.616,8.0604,2.0822
24,5.9204,6.8665,641,2.9428,1,12.0867,2.6429,665.729,230.877
28,2.6637,8.4136,6.171,1.547,1,9.8774,9.823,155.816,8.3308
15,9.7263,4.1485,5.535,3.3677,1,346.685,2.3246,286.902,6.0434
17,7.9762,7.6786,885,4.2242,0,2.2066,2.8458,289.302,9.8819
14,9.4555,4.051,7.295,8.568,0,23.162,2.8217,471.193,9.9404
13,9.0534,1.2291,602,2.2626,1,722,1.5744,953.626,11.1948
22,6.3811,2.0307,6.615,1.5959,1,277.197,2.9498,331.413,165.249
16,9.2969,4.0195,8.988,1.4168,0,231.041,1.9678,288.509,208.307
26,1.7964,8.4574,784,4.3041,1,457.741,3.855,177.114,1.3755
27,2.7638,3.4627,7.809,2.1083,0,360.136,2.6651,398.049,11.7784
29,1.407,6.5462,9.272,1.6954,1,6.3003,1.4061,190.221,9.9355
22,3.928,7.0931,9.899,3.0176,1,17.727,4.581,146.392,2.611
28,4.4981,5.8618,5.813,1.097,0,46.579,2.3743,858.785,195.957
22,3.4421,3.5724,1.089,1.1495,1,362.667,1.8732,6.2112,2.5035
16,8.4586,5.7705,4.591,2.6014,1,297.138,2.6464,713.717,2.754
22,4.2108,3.4227,7.876,2.0464,0,279.536,2.482,210.545,1.1592
18,3.5284,8.387,277,1.4749,1,199.049,9.603,2.1598,4.8101
23,5.8843,9.928,569,2.698,1,292.601,7.689,797.194,4.2436
24,2.2683,1.2718,672,2.6039,1,385.832,2.2015,705.263,8.3488
12,8.2198,7.235,731,4.083,0,6.3769,1.7199,340.956,158.225
26,1.671,8.7853,5.012,4.2569,1,484.915,2.096,8.8539,1.3031
13,9.882,3.0183,3.689,1.1772,1,11.9682,5.449,367.065,206.466
15,7.9502,6.503,1.056,2.9982,1,223.871,4.541,189.514,7.8379
23,2.7884,3.2901,7.322,4.2794,1,1.1358,1.7694,933.179,145.586
24,1.0497,3.9145,321,2.0436,1,275.173,2.573,534.327,2.881
10,8.3392,2.6211,2.653,4.6607,0,190.933,6.231,964.205,8.7794
13,7.3617,3.4304,6.523,4.5149,0,12.4878,1.6361,357.801,492
15,7.5611,4.107,559,1.0407,0,492.762,3.992,560.898,3.971
17,7.9414,7.2042,3.624,1.2948,1,214.071,7.448,198.222,10.7484
29,1.6664,5.1154,6.415,9.022,0,207.148,2.7204,810.345,12.8421
27,4.2262,9.4357,2.712,9.803,1,231.552,2.0914,5.0689,3.6703
21,2.0428,4.188,7.948,4.5393,1,5.8077,9.206,698.659,178.852
13,8.7679,5.0307,2.293,4.6557,1,196.548,2.6321,397.743,4.5361
17,6.6097,5.8422,1.588,2.595,1,168.202,7.509,582.632,2.7803
25,3.9781,9.202,7.824,2.968,1,232.562,1.7672,596.337,8.2022
23,1.572,4.916,7.079,2.8212,1,428.311,1.1055,713.687,132.343
25,3.7988,5.735,1.826,1.9527,1,9.6393,2.2564,21.222,237.336
23,3.9266,8.5363,1.162,3.1585,0,30.387,1.1148,536.072,10.0492
11,7.5665,2.4193,8.384,4.7368,0,1.8819,7.466,432.657,10.2239
23,6.738,8.7629,7.766,8.513,0,158.396,1.8231,289.359,1.424
15,8.9849,1.904,3.273,6.021,1,236.329,2.236,500.771,183.797
25,5.2499,7.3245,6.582,167,1,3.714,1.6091,952.495,4.3628
29,2.0763,9.3311,1.242,1.8192,0,271.984,2.1489,949.396,178.753
18,7.4192,6.572,507,1.6881,0,155.163,1.266,286.029,218.548
19,7.8471,4.3903,187,2.1541,1,496.405,2.3863,885.365,184.373
17,6.0515,4.488,3.916,2.5166,0,315.485,1.7551,877.987,154.189
16,7.9387,9.2011,748,3.7891,1,12.2088,5.887,257.089,14.494
21,5.4442,4.703,4.751,1.9606,0,5.1337,2.6723,602.961,10.8872
19,5.7046,0.29,4.217,1.6531,1,2.036,2.5105,871.236,3.469
24,4.8479,6.8982,4.444,4.1344,1,4.5387,2.8917,519.845,186.921
27,1.2288,4.8184,453,4.249,1,34.003,1.707,376.072,11.4557
26,1.971,1.2435,3.616,1.1638,0,427.496,2.0272,654.278,150.155
25,1.2829,2.1427,7.565,1.5734,0,7.8367,2.5907,180.701,8.9764
11,6.7277,6.449,3.689,4.1256,1,201.067,1.578,170.114,4.8173
29,3.8292,5.7429,7.152,397,1,177.118,2.7366,83.432,193.562
20,5.5771,6.2203,3.695,1.6292,1,322.259,8.135,5.1456,8.2176
14,9.1681,5.0574,4.232,2.2418,1,9.1339,1.711,805.594,208.003
25,3.2436,8.171,5.639,9.354,0,47.666,7.128,297.589,231.774
28,4.6934,8.6101,9.507,8.996,1,364.278,1.7591,488.291,199.197
16,7.8,6.1562,1.089,2.1243,1,477.536,1.435,54.808,3.0753
16,3.0592,1.276,329,3.7726,1,138.685,23,769.399,205.203
30,1.6928,6.9523,608,4.2012,1,293.858,1.9181,885.019,12.4646
20,3.6078,4.18,9.491,4.8962,0,366.134,1.3602,806.182,5.7939
30,2.451,5.6556,9.897,3.699,1,355.478,2.533,57.662,2.2357
14,9.3673,6.4908,4.842,1.0834,1,1.0673,7.726,354.534,6.6842
12,8.2731,3.5024,4.681,3.7831,1,499.145,8.421,531.292,3.2982
18,6.7006,9.171,645,2.703,0,46.403,2.326,3.9721,6.155
14,8.8431,1.3397,5.556,1.6384,1,5.9876,1.6155,25.253,237.063
16,8.233,6.7151,6.341,1.0279,0,271.783,1.0977,372.494,19.957
19,2.6791,436,874,1.4024,1,157.278,1.0191,326.557,177.348
17,9.033,9.2465,7.463,2.1464,0,439.447,1.3729,10.4195,4.6323
21,5.8541,1.125,4.969,8.858,1,34.876,2.5491,6.0247,6.657
11,8.267,9.488,4.619,4.8211,1,11.1759,3.156,426.508,11.6449
12,9.0648,3.3301,6.396,5.379,0,1.6931,1.5708,8.4052,178.007
21,3.862,3.7357,4.557,4.9279,1,145.871,5.893,293.346,231.081
22,1.9905,2.143,4.578,4.2095,1,1.9069,6.372,480.077,202.532
