title,heading,content,tokens
Luxembourg,INTER,"Luxembourg's INTER (2006 - Ongoing). INTER enables the FNR to initiate bi or multilateral arrangements for project calls in conjunction with other national or international funding bodies. It has the following objectives: To give Luxembourg’s public research a higher profile in the international context by providing funding for international collaboration.It uses Project grants for public research, Institutional funding for public research as policy instruments. and it has a budget of 1M-5M euros.",72
Luxembourg,CORE,"Luxembourg's CORE (2007 - Ongoing). A multi-annual thematic research programme to strengthen the scientific quality of Luxembourg’s public research in the country’s priority research domains. It has the following objectives: Funding of high quality scientific research, leading to the generation of new knowledge and scientific publications in the leading international peer-reviewed outlets of the respective fields.Development of a strong research basis in Luxembourg which can be exploited for sustainable long-term socio-economic and environmental benefits.Advancement of the research group or institution in view of international visibility and critical mass.Training of doctoral students and advancement of the involved researchers in general.It uses Project grants for public research, Centres of excellence grants as policy instruments. and it has a budget of Less than 1M euros.",122
Luxembourg,ATTRACT,"Luxembourg's ATTRACT (2007 - Ongoing). The ATTRACT programme is designed for (junior) researchers not yet established in Luxembourg, who demonstrate the potential to become leaders in their field of research. It has the following objectives: Providing promising junior researchers the opportunity to set up their own research team within one of the country’s research institutions.Attracting outstanding young talents from abroad.Supporting the Luxembourg research institutions to expand their competences in strategic research areas.It uses Project grants for public research, Fellowships and postgraduate loans and scholarships as policy instruments. and it has a budget of 1M-5M euros.",95
Luxembourg,OPEN,"Luxembourg's OPEN (2012 - Ongoing). The OPEN programme provides funding for a limited number of high quality research projects in areas that are currently not covered by the FNR’s thematic CORE programme. It has the following objectives: To support established researchers to pursue innovative research projects of high scientific quality in emerging research areas in Luxembourg.It uses Project grants for public research, Project grants for public research as policy instruments. and it has a budget of 1M-5M euros.",78
Luxembourg,PEARL,"Luxembourg's PEARL (2008 - Ongoing). Offers Luxembourg research institutions funding to enable them to draw established and internationally recognised researchers from abroad It has the following objectives: To accelerate the development and strengthening of Luxembourg’s national research priorities.To attract leading researchers that will develop a research programme in areas of strategic importance to Luxembourg with the potential to generate long term impact.To support the Luxembourg research institutions to expand their competences in strategic research areas.To address the apparent gender gap in leading academic and research positions (The FNR requires that the research institutions ensure that at least 30% of the candidates to be proposed to the FNR in the years 2017-2021 are female researchers.).It uses Project grants for public research, Project grants for public research as policy instruments. and it has a budget of 1M-5M euros.",136
Luxembourg,NATIONAL CENTRE OF EXCELLENCE IN RESEARCH ON PARKINSONS DISEASE,"Luxembourg's NATIONAL CENTRE OF EXCELLENCE IN RESEARCH ON PARKINSONS DISEASE (2015 - Ongoing). The NCER-PD is a joint research program by all biomedical research partners in Luxembourg. It has the following objectives: To focus on improving the diagnosis and stratification of Parkinsons disease (PD) by combining detailed clinical and molecular data of patients to develop novel disease biomarker signatures.Ultimately, to diagnose PD at an earlier stage and with a higher specificity than is currently possible.It uses Dedicated support to research infrastructures, Centres of excellence grants as policy instruments. and it has a budget of 1M-5M euros.",96
Luxembourg,"INTERDISCIPLINARY CENTRE FOR SECURITY, RELIABILITY AND TRUST","Luxembourg's INTERDISCIPLINARY CENTRE FOR SECURITY, RELIABILITY AND TRUST (2009 - Ongoing). The SnT conducts internationally competitive research in information and communication technology, ICT, with high relevance creating socio-economic impact. In addition to long-term, high-risk research, SnT engages in demand driven collaborative projects with industry and the public sector. It has the following objectives: To establish Luxembourg as a European centre of excellence for secure, reliable, and trustworthy ICT systems and services.To achieve excellence by targeting research topics that create high impact, well beyond the academic community.To foster an interdisciplinary environment bringing together expertise from engineering, natural, law, and human/social sciences to address common challenges.It uses Centres of excellence grants as policy instruments. and it has a budget of 1M-5M euros.",120
Malta,PLUMTRI - MEDITERRANEAN PLATFORM FOR RESEARCH AND INNOVATION,"Malta's PLUMTRI - MEDITERRANEAN PLATFORM FOR RESEARCH AND INNOVATION (2016 - Ongoing). PluMTri is a web portal developed as a tool for researchers working in Malta or abroad. Users can make use of the database (Profiles) to make contact with fellow researchers. They can also access news and events related to R&I as well as job opportunities. Those interested in engaging in a debate with other researchers on Maltas smart specialisation areas can request access to the PluMTri Forum. It has the following objectives: Develop a network of researchers both in the academic and industrial spheres to encourage inter-disciplinary collaboration, knowledge transfer between academia and industry, as well as form consortia for potential application of funds such as Horizon Europe.The website has a partner search facility to enable interested applicants to join consortia for transnational R&I collaborative projectsIt uses Networking and collaborative platforms, Public awareness campaigns and other outreach activities as policy instruments. and it has a budget of Less than 1M euros.",163
Poland,[NCN] UWERTURA FELLOWSHIP IN ERC-FUNDED PROJECTS,"Poland's [NCN] UWERTURA FELLOWSHIP IN ERC-FUNDED PROJECTS (2016 - Ongoing). Funding opportunity for research stays in international research teams which hold ERC grants. It has the following objectives: To support researchers planning to apply for ERC grants.To boost the academic profile of candidates applying for ERC grants.To increase the participation of Polish researchers in ERC programmes.It uses Project grants for public research, Fellowships and postgraduate loans and scholarships as policy instruments. and it has a budget of Less than 1M euros.",81
Portugal,THEMATIC RESEARCH AND INNOVATION AGENDAS,"Portugal's THEMATIC RESEARCH AND INNOVATION AGENDAS (2017 - Ongoing). A research, innovation and growth strategy for Portugal, organized around 14 thematic agendas. It has the following objectives: Promote the dialogue between the scientific and business communities, combining the capacities and needs of researchers, citizens, business, public administration and civil society organizations.Create a medium- and long-term vision of the Portuguese R&I system and define the approaches for achieving this vision in each of the 14 thematic areas.Construct sources of information to sustain decision-making processes for R&I internationalization strategies and research agendas of institutions and researchers.It uses Strategies, agendas and plans as policy instruments.",102
