date,count
2020-09-21,1
2020-09-26,1
2025-01-09,1
2025-01-15,1
2025-02-05,1
2025-02-19,1
2025-03-20,1
2025-03-25,1
2025-03-26,1
2025-03-28,1
2025-03-31,4
2025-04-01,1
2025-04-02,1
2025-04-04,1
2025-04-07,1
2025-04-08,2
2025-04-09,3
2025-04-10,2
2025-04-11,2
2025-04-14,7
2025-04-15,2
2025-04-16,1
2025-04-17,1
2025-04-21,4
2025-04-22,9
2025-04-23,6
2025-04-24,5
2025-04-25,4
2025-04-28,8
2025-04-29,10
2025-04-30,23
2025-05-01,1
2025-05-02,6
2025-05-03,1
2025-05-04,1
2025-05-05,33
2025-05-06,24
2025-05-07,29
2025-05-08,49
2025-05-09,60
2025-05-10,1
2025-05-11,3
2025-05-12,59
2025-05-13,82
2025-05-14,111
2025-05-15,129
2025-05-16,110
2025-05-17,14
2025-05-18,8
2025-05-19,179
2025-05-20,162
2025-05-21,206
2025-05-22,125
