Date,Supplier,Description,Transaction value (£)
21/04/2016,M & J Ballantyne Ltd,George IV Bridge Work,35098
26/04/2016,Private Sale,Literary & Archival Items,30000
30/04/2016,City Of Edinburgh Council,Non Domestic Rates ,40800
09/05/2016,Computacenter Uk,Kelvin Hall,72835
09/05/2016,John Graham Construction Ltd,Causewayside Refurbishment,64361
09/05/2016,A McGillivray,Causewayside Refurbishment,53690
16/05/2016,John Graham Construction Ltd,Causewayside Refurbishment,365344
23/05/2016,Computacenter Uk,Kelvin Hall,26506
23/05/2016,ECG Facilities Service,Facilities Management Charge,32777
23/05/2016,ECG Facilities Service,Facilities Management Charge,32777
30/05/2016,ALDL,ALDL Charges,32317
10/06/2016,Wavetek Ltd,Kelvin Hall,87589
10/06/2016,John Graham Construction Ltd,Causewayside Refurbishment,381803
28/06/2016,ECG Facilities Service,Facilities Management Charge,32832
30/06/2016,Glasgow City Council,Kelvin Hall,1700000
11/07/2016,Wavetek Ltd,Kelvin Hall,65692
11/07/2016,John Graham Construction Ltd,Causewayside Refurbishment,139845
15/07/2016,Sotheby'S,Literary & Archival Items,28500
18/07/2016,Christies,Literary & Archival Items,33800
25/07/2016,A McGillivray,Causewayside Refurbishment,30113
31/07/2016,ALDL,ALDL Charges,32317
08/08/2016,ECG Facilities Service,Facilities Management Charge,32795
15/08/2016,Creative Video Productions Ltd,Kelvin Hall,26866
15/08/2016,John Graham Construction Ltd,Causewayside Refurbishment,196807
24/08/2016,ECG Facilities Service,Facilities Management Charge,32795
05/09/2016,John Graham Construction Ltd,Causewayside Refurbishment,36359
12/09/2016,Flexiform,Kelvin Hall,42623
12/09/2016,City Of Edinburgh Council,Non Domestic Rates ,144330
12/09/2016,City Of Edinburgh Council,Non Domestic Rates ,49827
12/09/2016,John Graham Construction Ltd,Causewayside Refurbishment,228689
19/09/2016,Jisc Services Ltd Subscription Account,Literary & Archival Items,42629
26/09/2016,Senator International,Kelvin Hall,35706
26/09/2016,ECG Facilities Service,Facilities Management Charge,32795
26/09/2016,John Graham Construction Ltd,Causewayside Refurbishment,28378
30/09/2016,A McGillivray,Causewayside Refurbishment,44392
10/10/2016,Cengage Learning (Emea )Ltd,Literary & Archival Items,86604
10/10/2016,John Graham Construction Ltd,Causewayside Refurbishment,303999
24/10/2016,ECG Facilities Service,Facilities Management Charge,32795
24/10/2016,ALDL,ALDL Charges,32317
31/10/2016,John Graham Construction Ltd,Causewayside Refurbishment,74245
07/11/2016,CBRE,Kelvin Hall,83736
14/11/2016,University Of Glasgow,Kelvin Hall,188682
14/11/2016,John Graham Construction Ltd,Causewayside Refurbishment,362326
08/12/2016,Sothebys,Literary & Archival Items,166000
08/12/2016,Private Sale,Literary & Archival Items,87500
08/12/2016,ECG Facilities Service,Facilities Management Charge,32795
12/12/2016,John Graham Construction Ltd,Causewayside Refurbishment,385310
30/12/2016,ECG Facilities Service,Facilities Management Charge,32795
30/12/2016,John Graham Construction Ltd,Causewayside Refurbishment,253618
30/12/2016,John Graham Construction Ltd,Causewayside Refurbishment,45127
23/01/2017,ALDL,ALDL Charges,27730
07/02/2017,ECG Facilities Service,Facilities Management Charge,32795
07/02/2017,John Graham Construction Ltd,Causewayside Refurbishment,52404
13/02/2017,John Graham Construction Ltd,Causewayside Refurbishment,272390
27/02/2017,Cengage Learning (Emea )Ltd,Literary & Archival Items,43302
27/02/2017,ECG Facilities Service,Facilities Management Charge,32795
06/03/2017,Private Sale,Literary & Archival Items,72500
06/03/2017,John Graham Construction Ltd,Causewayside Refurbishment,31781
06/03/2017,John Graham Construction Ltd,Causewayside Refurbishment,198048
27/03/2017,ECG Facilities Service,Facilities Management Charge,32795
31/03/2017,NLS Foundation,Grant Payment,177500
31/03/2017,Private Sale,Literary & Archival Items,3422500
31/03/2017,Nicholson Bros(Electrical Contractors) Ltd,Causewayside Refurbishment,33666
31/03/2017,John Graham Construction Ltd,Causewayside Refurbishment,222090
31/03/2017,John Graham Construction Ltd,Causewayside Refurbishment,63971
31/03/2017,XMA Scotland Ltd,IT equipment,33450
