Date,Supplier,Description,Transaction value (£),Classification
15/08/2016,Creative Video Productions Ltd,Kelvin Hall,26866,Other
29/05/2017,John Graham Construction Ltd,Causewayside Refurbishment,74806,Building Improvement
29/05/2017,Morris & Spottiswood Ltd,George IV Bridge Work,56448,Building Improvement
31/05/2017,John Graham Construction Ltd,Causewayside Refurbishment,164691,Building Improvement
24/07/2017,John Graham Construction Ltd,Causewayside Refurbishment,27926,Building Improvement
24/07/2017,John Graham Construction Ltd,Causewayside Refurbishment,212690,Building Improvement
16/08/2017,John Graham Construction Ltd,Causewayside Refurbishment,59021,Building Improvement
16/08/2017,John Graham Construction Ltd,Causewayside Refurbishment,136379,Building Improvement
23/08/2017,Culture And Sport Glasgow,Kelvin Hall,60503,Building Improvement
23/08/2017,XMA Scotland Ltd,Kelvin Hall,31830,Building Improvement
31/08/2017,John Graham Construction Ltd,Causewayside Refurbishment,36313,Building Improvement
31/08/2017,Insight Direct (UK) Ltd,Causewayside Refurbishment,68222,Building Improvement
31/08/2017,Mark Finn Laboratory,George IV Bridge Work,53884,Building Improvement
11/09/2017,John Graham Construction Ltd,Causewayside Refurbishment,189483,Building Improvement
23/10/2017,John Graham Construction Ltd,Causewayside Refurbishment,151659,Building Improvement
23/10/2017,City Building LLP,Causewayside Refurbishment,53147,Building Improvement
07/02/2017,John Graham Construction Ltd,Causewayside Refurbishment,52404,Building Improvement
13/02/2017,John Graham Construction Ltd,Causewayside Refurbishment,272390,Building Improvement
06/03/2017,John Graham Construction Ltd,Causewayside Refurbishment,31781,Building Improvement
06/03/2017,John Graham Construction Ltd,Causewayside Refurbishment,198048,Building Improvement
31/03/2017,Nicholson Bros(Electrical Contractors) Ltd,Causewayside Refurbishment,33666,Building Improvement
31/03/2017,John Graham Construction Ltd,Causewayside Refurbishment,222090,Building Improvement
31/03/2017,John Graham Construction Ltd,Causewayside Refurbishment,63971,Building Improvement
24/04/2017,Scottish Historic Buildings Trust,Lawnmarket Work,50057,Building Improvement
30/04/2017,Morris & Spottiswood Ltd,George IV Bridge Work,63716,Building Improvement
15/05/2017,John Graham Construction Ltd,Causewayside Refurbishment,245381,Building Improvement
12/09/2016,Flexiform,Kelvin Hall,42623,Building Improvement
12/09/2016,John Graham Construction Ltd,Causewayside Refurbishment,228689,Building Improvement
26/09/2016,Senator International,Kelvin Hall,35706,Building Improvement
26/09/2016,John Graham Construction Ltd,Causewayside Refurbishment,28378,Building Improvement
30/09/2016,A McGillivray,Causewayside Refurbishment,44392,Building Improvement
10/10/2016,John Graham Construction Ltd,Causewayside Refurbishment,303999,Building Improvement
31/10/2016,John Graham Construction Ltd,Causewayside Refurbishment,74245,Building Improvement
07/11/2016,CBRE,Kelvin Hall,83736,Building Improvement
14/11/2016,University Of Glasgow,Kelvin Hall,188682,Building Improvement
14/11/2016,John Graham Construction Ltd,Causewayside Refurbishment,362326,Building Improvement
12/12/2016,John Graham Construction Ltd,Causewayside Refurbishment,385310,Building Improvement
