File,adherence_score,code_quality_score,parse_error,error
run_01.py,5,5,,
run_02.py,5,5,,
run_03.py,4,5,,
run_04.py,5,5,,
run_05.py,4,5,,
run_06.py,4,5,,
run_07.py,4,5,,
run_08.py,5,5,,
run_09.py,4,4,,
run_10.py,4,5,,
run_11.py,5,5,,
run_12.py,5,5,,
run_13.py,4,4,,
run_14.py,4,5,,
run_15.py,4,5,,
run_16.py,4,5,,
run_17.py,5,5,,
run_18.py,5,4,,
run_19.py,5,5,,
run_20.py,4,4,,
run_21.py,5,5,,
run_22.py,4,4,,
run_23.py,4,5,,
run_24.py,4,4,,
run_25.py,4,4,,
run_26.py,4,4,,
run_27.py,4,5,,
run_28.py,5,5,,
run_29.py,4,5,,
run_30.py,5,5,,
