date,first_response_time
2020-09-21,
2020-09-26,
2025-01-09,
2025-01-15,845.0
2025-02-05,111492.0
2025-02-19,121.0
2025-03-20,1126.0
2025-03-25,6784.0
2025-03-26,2865.0
2025-03-28,283.0
2025-03-31,1704.0
2025-04-01,1139.0
2025-04-02,27566.0
2025-04-04,197049.0
2025-04-08,23034.0
2025-04-10,5971.5
2025-04-11,332662.0
2025-04-14,83952.5
2025-04-15,4705.0
2025-04-16,
2025-04-17,62936.0
2025-04-21,1073.0
2025-04-22,19455.5
2025-04-23,923.0
2025-04-24,10728.0
2025-04-25,14696.0
2025-04-28,70256.0
2025-04-29,7850.0
2025-04-30,34241.5
2025-05-02,2028.0
2025-05-04,42952.0
2025-05-05,3294.0
2025-05-06,11501.5
2025-05-07,28431.0
2025-05-08,23025.0
2025-05-09,7352.0
2025-05-10,
2025-05-11,108191.5
2025-05-12,21030.0
2025-05-13,16225.0
2025-05-14,12400.0
2025-05-15,12361.0
2025-05-16,6881.0
2025-05-17,4220.0
2025-05-18,28112.5
2025-05-19,6173.0
2025-05-20,3762.5
2025-05-21,2698.0
2025-05-22,5653.0
