date,resolution_time
2020-09-21,40846.041666666664
2020-09-26,40734.01027777778
2025-01-09,3046.424722222222
2025-01-15,3008.3319444444446
2025-02-05,2406.050277777778
2025-02-19,2189.3769444444442
2025-03-25,1365.5919444444444
2025-03-28,1181.6744444444444
2025-03-31,1183.1784722222224
2025-04-01,1153.1744444444444
2025-04-10,868.5327777777778
2025-04-14,880.9354166666667
2025-04-15,862.0033333333333
2025-04-16,844.3877777777777
2025-04-17,820.6769444444444
2025-04-21,681.2266666666667
2025-04-22,700.9869444444445
2025-04-23,555.8036111111111
2025-04-24,648.1986111111111
2025-04-25,593.6255555555556
2025-04-28,529.5191666666667
2025-04-29,500.95916666666665
2025-04-30,480.63138888888886
2025-05-02,481.18694444444446
2025-05-04,359.9038888888889
2025-05-05,360.54833333333335
2025-05-06,281.6097222222222
2025-05-07,294.49583333333334
2025-05-08,288.59458333333333
2025-05-09,260.62444444444446
2025-05-10,242.46722222222223
2025-05-11,234.14041666666668
2025-05-12,168.08527777777778
2025-05-13,148.55138888888888
2025-05-14,143.93333333333334
2025-05-15,119.32666666666667
2025-05-16,79.31416666666667
2025-05-17,44.55722222222222
2025-05-18,51.935833333333335
2025-05-19,20.504722222222224
2025-05-20,10.639444444444443
2025-05-21,1.5219444444444445
2025-05-22,1.0980555555555556
